x [mm], y [mm], u [m/s], v [m/s]
-4.500000000000000000e+01, -8.500000000000000000e+01, 1.078607559204101562e+01, 2.090923935174942017e-01
-3.500000000000000000e+01, -8.500000000000000000e+01, 1.099591159820556641e+01, 3.400354981422424316e-01
-2.500000000000000000e+01, -8.500000000000000000e+01, 1.096579742431640625e+01, 3.854441344738006592e-01
-1.500000000000000000e+01, -8.500000000000000000e+01, 1.079093170166015625e+01, 3.664828538894653320e-01
-5.000000000000000000e+00, -8.500000000000000000e+01, 1.047157955169677734e+01, 3.293707966804504395e-01
5.000000000000000000e+00, -8.500000000000000000e+01, 1.005637550354003906e+01, 2.680443227291107178e-01
1.500000000000000000e+01, -8.500000000000000000e+01, 9.721816062927246094e+00, 2.122616767883300781e-01
2.500000000000000000e+01, -8.500000000000000000e+01, 9.493582725524902344e+00, 2.335288524627685547e-01
3.500000000000000000e+01, -8.500000000000000000e+01, 9.354507446289062500e+00, 2.452114224433898926e-01
4.500000000000000000e+01, -8.500000000000000000e+01, 9.319553375244140625e+00, 1.437819153070449829e-01
5.500000000000000000e+01, -8.500000000000000000e+01, 9.418910980224609375e+00, -2.713087201118469238e-02
6.500000000000000000e+01, -8.500000000000000000e+01, 9.662182807922363281e+00, -1.657800376415252686e-01
7.500000000000000000e+01, -8.500000000000000000e+01, 9.965374946594238281e+00, -2.130391746759414673e-01
8.500000000000000000e+01, -8.500000000000000000e+01, 1.021399307250976562e+01, -1.331555545330047607e-01
9.500000000000000000e+01, -8.500000000000000000e+01, 1.024191570281982422e+01, -1.788859069347381592e-02
1.050000000000000000e+02, -8.500000000000000000e+01, 1.011729526519775391e+01, 3.865288197994232178e-02
1.150000000000000000e+02, -8.500000000000000000e+01, 9.970509529113769531e+00, 6.861135363578796387e-02
1.250000000000000000e+02, -8.500000000000000000e+01, 9.858099937438964844e+00, 4.358577355742454529e-02
1.350000000000000000e+02, -8.500000000000000000e+01, 9.888660430908203125e+00, -6.426016986370086670e-02
1.450000000000000000e+02, -8.500000000000000000e+01, 1.002496242523193359e+01, -1.773887723684310913e-01
1.550000000000000000e+02, -8.500000000000000000e+01, 1.021625804901123047e+01, -2.913912832736968994e-01
1.650000000000000000e+02, -8.500000000000000000e+01, 1.040520858764648438e+01, -4.123012721538543701e-01
1.750000000000000000e+02, -8.500000000000000000e+01, 1.044450473785400391e+01, -5.237824916839599609e-01
1.850000000000000000e+02, -8.500000000000000000e+01, 1.053399753570556641e+01, -5.714322328567504883e-01
1.950000000000000000e+02, -8.500000000000000000e+01, 1.057818412780761719e+01, -5.759050846099853516e-01
-1.950000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -7.500000000000000000e+01, 8.775601387023925781e+00, -3.960582017898559570e-01
-9.500000000000000000e+01, -7.500000000000000000e+01, 8.692998886108398438e+00, -4.005196690559387207e-01
-8.500000000000000000e+01, -7.500000000000000000e+01, 8.652834892272949219e+00, -3.302535116672515869e-01
-7.500000000000000000e+01, -7.500000000000000000e+01, 8.513469696044921875e+00, 3.501221537590026855e-02
-6.500000000000000000e+01, -7.500000000000000000e+01, 8.809074401855468750e+00, 2.175160646438598633e-01
-5.500000000000000000e+01, -7.500000000000000000e+01, 9.327881813049316406e+00, 2.485221922397613525e-01
-4.500000000000000000e+01, -7.500000000000000000e+01, 9.859593391418457031e+00, 1.968253403902053833e-01
-3.500000000000000000e+01, -7.500000000000000000e+01, 1.030081272125244141e+01, 1.577132046222686768e-01
-2.500000000000000000e+01, -7.500000000000000000e+01, 1.055117511749267578e+01, 1.572691798210144043e-01
-1.500000000000000000e+01, -7.500000000000000000e+01, 1.063319587707519531e+01, 1.858198642730712891e-01
-5.000000000000000000e+00, -7.500000000000000000e+01, 1.055218696594238281e+01, 2.338044196367263794e-01
5.000000000000000000e+00, -7.500000000000000000e+01, 1.034949207305908203e+01, 2.883971929550170898e-01
1.500000000000000000e+01, -7.500000000000000000e+01, 1.012472629547119141e+01, 3.227971792221069336e-01
2.500000000000000000e+01, -7.500000000000000000e+01, 9.951830863952636719e+00, 3.626513481140136719e-01
3.500000000000000000e+01, -7.500000000000000000e+01, 9.826982498168945312e+00, 3.555135130882263184e-01
4.500000000000000000e+01, -7.500000000000000000e+01, 9.728355407714843750e+00, 2.691299319267272949e-01
5.500000000000000000e+01, -7.500000000000000000e+01, 9.729721069335937500e+00, 1.529085040092468262e-01
6.500000000000000000e+01, -7.500000000000000000e+01, 9.865650177001953125e+00, 6.278218328952789307e-02
7.500000000000000000e+01, -7.500000000000000000e+01, 1.008504772186279297e+01, 1.889464259147644043e-02
8.500000000000000000e+01, -7.500000000000000000e+01, 1.026105976104736328e+01, 4.044389724731445312e-02
9.500000000000000000e+01, -7.500000000000000000e+01, 1.020241641998291016e+01, 8.221852779388427734e-02
1.050000000000000000e+02, -7.500000000000000000e+01, 1.001849842071533203e+01, 8.636510372161865234e-02
1.150000000000000000e+02, -7.500000000000000000e+01, 9.860848426818847656e+00, 5.479183048009872437e-02
1.250000000000000000e+02, -7.500000000000000000e+01, 9.792991638183593750e+00, -3.535659983754158020e-02
1.350000000000000000e+02, -7.500000000000000000e+01, 9.867993354797363281e+00, -1.475134640932083130e-01
1.450000000000000000e+02, -7.500000000000000000e+01, 9.926599502563476562e+00, -2.238452732563018799e-01
1.550000000000000000e+02, -7.500000000000000000e+01, 9.962419509887695312e+00, -3.072405755519866943e-01
1.650000000000000000e+02, -7.500000000000000000e+01, 1.006124401092529297e+01, -4.043751060962677002e-01
1.750000000000000000e+02, -7.500000000000000000e+01, 1.028446292877197266e+01, -4.986375868320465088e-01
1.850000000000000000e+02, -7.500000000000000000e+01, 1.054321575164794922e+01, -5.387589335441589355e-01
1.950000000000000000e+02, -7.500000000000000000e+01, 1.063619995117187500e+01, -5.557343363761901855e-01
-1.950000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -6.500000000000000000e+01, 8.764029502868652344e+00, -3.975129425525665283e-01
-9.500000000000000000e+01, -6.500000000000000000e+01, 8.486751556396484375e+00, -4.304321408271789551e-01
-8.500000000000000000e+01, -6.500000000000000000e+01, 7.826218605041503906e+00, 1.153374314308166504e-01
-7.500000000000000000e+01, -6.500000000000000000e+01, 7.937749862670898438e+00, 2.537050247192382812e-01
-6.500000000000000000e+01, -6.500000000000000000e+01, 8.564166069030761719e+00, 9.351900219917297363e-02
-5.500000000000000000e+01, -6.500000000000000000e+01, 9.147448539733886719e+00, -4.090178012847900391e-02
-4.500000000000000000e+01, -6.500000000000000000e+01, 9.638826370239257812e+00, -1.156339719891548157e-01
-3.500000000000000000e+01, -6.500000000000000000e+01, 1.004636955261230469e+01, -1.485205888748168945e-01
-2.500000000000000000e+01, -6.500000000000000000e+01, 1.037732124328613281e+01, -1.299089342355728149e-01
-1.500000000000000000e+01, -6.500000000000000000e+01, 1.060574245452880859e+01, -6.068494915962219238e-02
